0,4tRkMAL93DFmaMDUHOHuBH,Rock 'n' Roll Lifestyle,Motorcade of Generosity,Cake,1994
1,5TYHzFAQp3IBeWqRIBIDjJ,Mr. Mastodon Farm,Motorcade of Generosity,Cake,1994
2,2MDV2w1rdUPT4Qxm5L2Wzv,Taking What's Not Yours,Who Really Cares,TV Girl,2016-02-25
3,2aC8wwfrM0YeTAzzk8hxqC,Disco 2000,Different Class,Pulp,1995-10-30
4,1h9GNQ3aCkQyMAaM40a5xU,Lipgloss,His N Hers,Pulp,1994-04-18
5,2fXKyAyPrEa24c6PJyqznF,Common People,Different Class,Pulp,1995-10-30
6,7aKWgpecgLEqisWcXPElDl,Never There,Prolonging the Magic,Cake,1998-02-05
7,4MYql2If0ciuOUB1L2DHDh,Car 24,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21
8,2McT9smAArZgp6jKdLnL0X,Mexico,Prolonging the Magic,Cake,1998-02-05
9,4UIWEomPQIaacYpTjEwMVS,Cat Blues,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21
